date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:11	3201/3201	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:55%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_2.html	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_2.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:13	285055/285055	---M--	200	added ('OK')	image/png	etag:%225f933a0e-4597f%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/product/product-12.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/product/product-12.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ecommerce_checkout.html)
17:26:15	3201/3201	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:55%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_2_dark.html	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_2_dark.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:19	48109/48109	---M--	200	added ('OK')	image/png	etag:%226149db6e-bbed%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-2.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-2.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:20	3490/3490	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:58%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_3.html	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_3.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:23	53376/53376	---M--	200	added ('OK')	image/png	etag:%226149db6c-d080%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-2-dark.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-2-dark.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:24	3497/3497	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:31%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_3_dark.html	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon_3_dark.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:28	385471/385471	---M--	200	added ('OK')	image/png	etag:%225f933a3e-5e1bf%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/product/product-11.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/product/product-11.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ecommerce_checkout.html)
17:26:29	575/575	---MCZ	200	added ('OK')	application/javascript	etag:W/%22614c67a0-23f%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/js/pages/custom-scroll.js	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/js/pages/custom-scroll.js	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_custom_scroll.html)
17:26:29	55766/55766	---M--	200	added ('OK')	image/png	etag:%226149db6f-d9d6%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-3.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-3.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:34	64268/64268	---M--	200	added ('OK')	image/png	etag:%226149db6e-fb0c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-3-dark.png	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/preview/coming-soon-3-dark.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_coming_soon.html)
17:26:35	35862/35862	---M--	200	added ('OK')	image/jpeg	etag:%225a625b04-8c16%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/gallery/studio1.jpg	C:/My%20Web%20Sites/HTML%20TEMPLATES/edulearn-lms-admin-template.multipurposethemes.com/images/gallery/studio1.jpg	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/sample_gallery.html)
